时段,top_n,min_score,总收益,年化,最大回撤,夏普,胜率,交易次数
2023下半年,3,0.3,1.286656,0.318896,-0.295238,0.8714,0.397887,852
2023下半年,5,0.2,1.161339,0.294252,-0.249435,0.979,0.399668,1206
2023下半年,5,0.3,1.161339,0.294252,-0.249435,0.979,0.399668,1206
2023下半年,8,0.2,1.020578,0.265409,-0.201409,1.0934,0.381367,1492
2023下半年,8,0.3,1.020578,0.265409,-0.201409,1.0934,0.381367,1492
2024全年,3,0.3,1.604553,0.467431,-0.340586,1.0741,0.412399,742
2024全年,5,0.2,1.523798,0.44903,-0.249052,1.2483,0.413696,1066
2024全年,5,0.3,1.523798,0.44903,-0.249052,1.2483,0.413696,1066
2024全年,8,0.2,1.315969,0.39999,-0.212147,1.4028,0.396055,1318
2024全年,8,0.3,1.315969,0.39999,-0.212147,1.4028,0.396055,1318
2025至今,3,0.2,1.065985,0.603981,-0.306122,1.2707,0.434483,435
2025至今,3,0.3,1.065985,0.603981,-0.306122,1.2707,0.434483,435
2025至今,5,0.2,1.181202,0.661676,-0.231523,1.6378,0.42314,605
2025至今,5,0.3,1.181202,0.661676,-0.231523,1.6378,0.42314,605
2025至今,8,0.2,1.013282,0.577216,-0.199608,1.8711,0.410959,730
2025至今,8,0.3,1.013282,0.577216,-0.199608,1.8711,0.410959,730
2023至今,3,0.2,1.286656,0.318896,-0.295238,0.8714,0.397887,852
2023至今,3,0.3,1.286656,0.318896,-0.295238,0.8714,0.397887,852
2023至今,5,0.2,1.161339,0.294252,-0.249435,0.979,0.399668,1206
2023至今,5,0.3,1.161339,0.294252,-0.249435,0.979,0.399668,1206
2023至今,8,0.2,1.020578,0.265409,-0.201409,1.0934,0.381367,1492
2023至今,8,0.3,1.020578,0.265409,-0.201409,1.0934,0.381367,1492
